team,matchday,standings,wins,goals,goal differential,points
VfB Stuttgart,11,18,2,14,-11,9
VfB Stuttgart,12,18,2,14,-12,9
VfB Stuttgart,13,16,3,18,-9,12
VfB Stuttgart,14,18,3,18,-13,12
VfB Stuttgart,15,18,3,19,-13,13
VfB Stuttgart,16,15,4,20,-12,16
VfB Stuttgart,17,15,4,20,-12,17
VfB Stuttgart,18,17,4,20,-13,17
VfB Stuttgart,19,16,4,20,-13,18
VfB Stuttgart,20,18,4,20,-15,18
VfB Stuttgart,21,18,4,21,-16,18
VfB Stuttgart,22,18,4,23,-17,18
VfB Stuttgart,23,18,4,24,-17,19
VfB Stuttgart,24,18,4,24,-17,20
VfB Stuttgart,25,18,4,24,-21,20
VfB Stuttgart,26,18,5,27,-19,23
VfB Stuttgart,27,18,5,28,-21,23
VfB Stuttgart,28,17,6,31,-20,26
VfB Stuttgart,29,17,6,32,-21,26
VfB Stuttgart,30,18,6,34,-21,27
VfB Stuttgart,31,18,6,36,-22,27
VfB Stuttgart,32,18,7,38,-20,30
VfB Stuttgart,33,16,8,40,-19,33
VfB Stuttgart,34,14,9,42,-18,36
VfL Wolfsburg,1,14,0,1,-1,0
VfL Wolfsburg,2,12,0,3,-1,1
VfL Wolfsburg,3,13,0,4,-1,2
VfL Wolfsburg,4,11,1,8,2,5
VfL Wolfsburg,5,12,1,8,1,5
VfL Wolfsburg,6,9,2,10,2,8
VfL Wolfsburg,7,7,3,11,3,11
VfL Wolfsburg,8,5,4,13,4,14
VfL Wolfsburg,9,3,5,16,7,17
VfL Wolfsburg,10,2,6,20,11,20
VfL Wolfsburg,11,2,7,22,13,23
VfL Wolfsburg,12,2,7,24,12,23
VfL Wolfsburg,13,2,8,25,13,26
VfL Wolfsburg,14,2,9,28,15,29
VfL Wolfsburg,15,2,9,29,15,30
VfL Wolfsburg,16,2,9,31,15,31
VfL Wolfsburg,17,2,10,33,16,34
VfL Wolfsburg,18,2,11,37,19,37
VfL Wolfsburg,19,2,11,38,19,38
VfL Wolfsburg,20,2,12,41,22,41
VfL Wolfsburg,21,2,13,46,23,44
